size,agent,task_per_agent,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
33x46,180,10,-0.1,flex,False,False,True,1800,24,-1
33x46,180,10,-0.25,flex,True,False,True,1800,751,-1
33x46,180,10,-0.25,flex,True,True,True,1800,872,-1
33x46,180,10,-0.25,flex,False,False,True,1800,27,-1
33x46,180,2,0,edf,True,False,True,360,338,8664
33x46,180,2,0,edf,True,True,True,360,338,8744
33x46,180,2,0,edf,False,False,True,360,338,8632
33x46,180,2,0.1,edf,True,False,True,360,349,8510
33x46,180,2,0.1,edf,True,True,True,360,349,8650
33x46,180,2,0.1,edf,False,False,True,360,349,8589
33x46,180,2,0.25,edf,True,False,True,360,358,9199
33x46,180,2,0.25,edf,True,True,True,360,358,9252
33x46,180,2,0.25,edf,False,False,True,360,358,9228
33x46,180,2,-0.1,edf,True,False,True,360,312,8396
33x46,180,2,-0.1,edf,True,True,True,360,312,8390
33x46,180,2,-0.1,edf,False,False,True,360,312,8372
33x46,180,2,-0.25,edf,True,False,True,360,271,6892
33x46,180,2,-0.25,edf,True,True,True,360,271,6913
33x46,180,2,-0.25,edf,False,False,True,360,271,6852
33x46,180,2,0,flex,True,False,True,360,337,527866
33x46,180,2,0,flex,True,True,True,360,337,152103
33x46,180,2,0,flex,False,False,True,360,91,-1
33x46,180,2,0.1,flex,True,False,True,360,352,441288
33x46,180,2,0.1,flex,True,True,True,360,352,138342
33x46,180,2,0.1,flex,False,False,True,360,82,-1
33x46,180,2,0.25,flex,True,False,True,360,360,595131
33x46,180,2,0.25,flex,True,True,True,360,360,136159
33x46,180,2,0.25,flex,False,False,True,360,87,-1
33x46,180,2,-0.1,flex,True,False,True,360,324,410330
33x46,180,2,-0.1,flex,True,True,True,360,324,98839
33x46,180,2,-0.1,flex,False,False,True,360,98,-1
33x46,180,2,-0.25,flex,True,False,True,360,272,264058
33x46,180,2,-0.25,flex,True,True,True,360,272,63281
33x46,180,2,-0.25,flex,False,False,True,360,102,-1
33x46,180,5,0,edf,True,False,True,900,880,28118
33x46,180,5,0,edf,True,True,True,900,880,28333
33x46,180,5,0,edf,False,False,True,900,880,28190
33x46,180,5,0.1,edf,True,False,True,900,889,27978
33x46,180,5,0.1,edf,True,True,True,900,889,27263
33x46,180,5,0.1,edf,False,False,True,900,889,27659
33x46,180,5,0.25,edf,True,False,True,900,895,30964
33x46,180,5,0.25,edf,True,True,True,900,895,31012
33x46,180,5,0.25,edf,False,False,True,900,895,30793
33x46,180,5,-0.1,edf,True,False,True,900,847,31070
33x46,180,5,-0.1,edf,True,True,True,900,847,31054
33x46,180,5,-0.1,edf,False,False,True,900,847,31493
33x46,180,5,-0.25,edf,True,False,True,900,779,32312
33x46,180,5,-0.25,edf,True,True,True,900,779,32132
33x46,180,5,-0.25,edf,False,False,True,900,779,32543
33x46,180,5,0,flex,True,False,True,900,491,-1
33x46,180,5,0,flex,True,True,True,900,884,1540074
33x46,180,5,0,flex,False,False,True,900,41,-1
33x46,180,5,0.1,flex,True,False,True,900,644,-1
33x46,180,5,0.1,flex,True,True,True,900,893,1909457
33x46,180,5,0.1,flex,False,False,True,900,41,-1
33x46,180,5,0.25,flex,True,False,True,900,613,-1
33x46,180,5,0.25,flex,True,True,True,900,898,1622823
33x46,180,5,0.25,flex,False,False,True,900,47,-1
33x46,180,5,-0.1,flex,True,False,True,900,505,-1
33x46,180,5,-0.1,flex,True,True,True,900,863,1859894
33x46,180,5,-0.1,flex,False,False,True,900,45,-1
33x46,180,5,-0.25,flex,True,False,True,900,798,2776675
33x46,180,5,-0.25,flex,True,True,True,900,798,1163186
33x46,180,5,-0.25,flex,False,False,True,900,47,-1
33x46,60,10,0,edf,True,False,True,600,597,3866
33x46,60,10,0,edf,True,True,True,600,597,3899
33x46,60,10,0,edf,False,False,True,600,597,3867
33x46,60,10,0.1,edf,True,False,True,600,599,3595
33x46,60,10,0.1,edf,True,True,True,600,599,3527
33x46,60,10,0.1,edf,False,False,True,600,599,3568
33x46,60,10,0.25,edf,True,False,True,600,596,3726
33x46,60,10,0.25,edf,True,True,True,600,596,3782
33x46,60,10,0.25,edf,False,False,True,600,596,3836
33x46,60,10,-0.1,edf,True,False,True,600,592,4432
33x46,60,10,-0.1,edf,True,True,True,600,592,4525
33x46,60,10,-0.1,edf,False,False,True,600,592,4491
33x46,60,10,-0.25,edf,True,False,True,600,576,3710
33x46,60,10,-0.25,edf,True,True,True,600,576,3762
33x46,60,10,-0.25,edf,False,False,True,600,576,3686
33x46,60,10,0,flex,True,False,True,600,600,478581
33x46,60,10,0,flex,True,True,True,600,600,316157
33x46,60,10,0,flex,False,False,True,600,152,-1
33x46,60,10,0.1,flex,True,False,True,600,600,501664
33x46,60,10,0.1,flex,True,True,True,600,600,227991
33x46,60,10,0.1,flex,False,False,True,600,142,-1
33x46,60,10,0.25,flex,True,False,True,600,600,538656
33x46,60,10,0.25,flex,True,True,True,600,600,297606
33x46,60,10,0.25,flex,False,False,True,600,126,-1
33x46,60,10,-0.1,flex,True,False,True,600,593,783866
33x46,60,10,-0.1,flex,True,True,True,600,593,304354
33x46,60,10,-0.1,flex,False,False,True,600,156,-1
33x46,60,10,-0.25,flex,True,False,True,600,577,550341
33x46,60,10,-0.25,flex,True,True,True,600,577,263232
33x46,60,10,-0.25,flex,False,False,True,600,180,-1
33x46,60,2,0,edf,True,False,True,120,119,488
33x46,60,2,0,edf,True,True,True,120,119,555
33x46,60,2,0,edf,False,False,True,120,119,491
33x46,60,2,0.1,edf,True,False,True,120,119,502
33x46,60,2,0.1,edf,True,True,True,120,119,503
33x46,60,2,0.1,edf,False,False,True,120,119,530
33x46,60,2,0.25,edf,True,False,True,120,120,523
33x46,60,2,0.25,edf,True,True,True,120,120,515
33x46,60,2,0.25,edf,False,False,True,120,120,513
33x46,60,2,-0.1,edf,True,False,True,120,110,584
33x46,60,2,-0.1,edf,True,True,True,120,110,718
33x46,60,2,-0.1,edf,False,False,True,120,110,598
33x46,60,2,-0.25,edf,True,False,True,120,100,476
33x46,60,2,-0.25,edf,True,True,True,120,100,525
33x46,60,2,-0.25,edf,False,False,True,120,100,486
33x46,60,2,0,flex,True,False,True,120,119,10749
33x46,60,2,0,flex,True,True,True,120,119,4448
33x46,60,2,0,flex,False,False,True,120,119,163570
33x46,60,2,0.1,flex,True,False,True,120,120,11266
33x46,60,2,0.1,flex,True,True,True,120,120,4092
33x46,60,2,0.1,flex,False,False,True,120,120,180495
33x46,60,2,0.25,flex,True,False,True,120,120,11171
33x46,60,2,0.25,flex,True,True,True,120,120,4367
33x46,60,2,0.25,flex,False,False,True,120,120,191347
33x46,60,2,-0.1,flex,True,False,True,120,114,11014
33x46,60,2,-0.1,flex,True,True,True,120,114,3971
33x46,60,2,-0.1,flex,False,False,True,120,114,147627
33x46,60,2,-0.25,flex,True,False,True,120,101,7395
33x46,60,2,-0.25,flex,True,True,True,120,101,2795
33x46,60,2,-0.25,flex,False,False,True,120,101,105948
33x46,60,5,0,edf,True,False,True,300,298,1600
33x46,60,5,0,edf,True,True,True,300,298,1644
33x46,60,5,0,edf,False,False,True,300,298,1587
33x46,60,5,0.1,edf,True,False,True,300,300,1888
33x46,60,5,0.1,edf,True,True,True,300,300,1917
33x46,60,5,0.1,edf,False,False,True,300,300,1899
33x46,60,5,0.25,edf,True,False,True,300,300,1502
33x46,60,5,0.25,edf,True,True,True,300,300,1549
33x46,60,5,0.25,edf,False,False,True,300,300,1522
33x46,60,5,-0.1,edf,True,False,True,300,295,1746
33x46,60,5,-0.1,edf,True,True,True,300,295,1745
33x46,60,5,-0.1,edf,False,False,True,300,295,1742
33x46,60,5,-0.25,edf,True,False,True,300,281,1830
33x46,60,5,-0.25,edf,True,True,True,300,281,1639
33x46,60,5,-0.25,edf,False,False,True,300,281,1600
33x46,60,5,0,flex,True,False,True,300,300,95272
33x46,60,5,0,flex,True,True,True,300,300,47397
33x46,60,5,0,flex,False,False,True,300,300,1917755
33x46,60,5,0.1,flex,True,False,True,300,300,88078
33x46,60,5,0.1,flex,True,True,True,300,300,49055
33x46,60,5,0.1,flex,False,False,True,300,300,2236088
33x46,60,5,0.25,flex,True,False,True,300,300,91217
33x46,60,5,0.25,flex,True,True,True,300,300,45515
33x46,60,5,0.25,flex,False,False,True,300,300,2320991
33x46,60,5,-0.1,flex,True,False,True,300,299,115633
